name,address,distance_km,telephone,google_rating,email,website,source
Tagesklinik Fontheim," , ",9.15,,0,,https://www.fontheim.de/organisatorischer-einstieg/klinik-fuer-psychatrie-psychotherapie-und-psychosomatik/tageskliniken,OSM
Bernhard Otto,"Theodor-Heuss-Straße 28, Wolfsburg",20.82,,0,,,OSM
Tagesklinik,"Manskestraße 22a, Lehrte",38.97,,0,,,OSM
Praxis Dr. Adelmund u. Andreas Heiland,"Woltorfer Straße 7, Peine",20.54,,0,,https://www.praxis-am-koenigsteich.de,OSM
Schwaiger," , ",36.46,,0,,,OSM
Simon," , ",36.48,+49 151 27090135,0,,,OSM
Praxis Kerekes," , ",0.33,,0,,,OSM
Araksi Söffgen,"Jasperallee 79, Braunschweig",0.72,+49 531 288 534 84,0,,,OSM
MVZ MUDr. Courvoisier GmbH,"Alte Braunschweiger Straße 34 A, ",15.6,+49 5308 9341820,0,mvz-lehre@courvoisier.gmbh,https://courvoisier.gmbh/flechtorf,OSM
MVZ MUDr. Courvoisier - Fachpraxis für Psychiatrie und Psychotherapie,"Engelhardstraße 5, Braunschweig",6.75,+49 531 39399555,0,,https://courvoisier.gmbh/braunschweig,OSM
MVZ MUDr. Courvoisier - Praxis Gifhorn," , ",24.41,+49 5371 51018,0,,https://courvoisier.gmbh/gifhorn-torstrae,OSM
